Name,Score,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1,Finish_conv,Drop_rate,Fav_conv,Love_rate,Hate_rate,comp_dropped,Source_4-koma manga,Source_Book,Source_Card game,Source_Digital manga,Source_Game,Source_Light novel,Source_Manga,Source_Music,Source_Novel,Source_Original,Source_Other,Source_Picture book,Source_Radio,Source_Visual novel,Source_Web manga,Rating_G - All Ages,Rating_PG - Children,Rating_PG-13 - Teens 13 or older,Rating_R - 17+ (violence & profanity),Rating_R+ - Mild Nudity,Genre_1_Action,Genre_1_Adventure,Genre_1_Cars,Genre_1_Comedy,Genre_1_Dementia,Genre_1_Demons,Genre_1_Drama,Genre_1_Ecchi,Genre_1_Fantasy,Genre_1_Game,Genre_1_Harem,Genre_1_Historical,Genre_1_Horror,Genre_1_Kids,Genre_1_Magic,Genre_1_Martial Arts,Genre_1_Mecha,Genre_1_Military,Genre_1_Music,Genre_1_Mystery,Genre_1_Parody,Genre_1_Psychological,Genre_1_Romance,Genre_1_School,Genre_1_Sci-Fi,Genre_1_Seinen,Genre_1_Shounen,Genre_1_Shounen Ai,Genre_1_Slice of Life,Genre_1_Space,Genre_1_Sports,Genre_1_Super Power,Genre_1_Supernatural,Genre_2_ Adventure,Genre_2_ Cars,Genre_2_ Comedy,Genre_2_ Dementia,Genre_2_ Demons,Genre_2_ Drama,Genre_2_ Ecchi,Genre_2_ Fantasy,Genre_2_ Game,Genre_2_ Harem,Genre_2_ Historical,Genre_2_ Horror,Genre_2_ Josei,Genre_2_ Kids,Genre_2_ Magic,Genre_2_ Martial Arts,Genre_2_ Mecha,Genre_2_ Military,Genre_2_ Music,Genre_2_ Mystery,Genre_2_ Parody,Genre_2_ Police,Genre_2_ Psychological,Genre_2_ Romance,Genre_2_ Samurai,Genre_2_ School,Genre_2_ Sci-Fi,Genre_2_ Seinen,Genre_2_ Shoujo,Genre_2_ Shoujo Ai,Genre_2_ Shounen,Genre_2_ Shounen Ai,Genre_2_ Slice of Life,Genre_2_ Space,Genre_2_ Sports,Genre_2_ Super Power,Genre_2_ Supernatural,Genre_2_ Thriller,Genre_2_ Vampire,Genre_3_ Adventure,Genre_3_ Cars,Genre_3_ Comedy,Genre_3_ Dementia,Genre_3_ Demons,Genre_3_ Drama,Genre_3_ Ecchi,Genre_3_ Fantasy,Genre_3_ Game,Genre_3_ Harem,Genre_3_ Historical,Genre_3_ Horror,Genre_3_ Josei,Genre_3_ Kids,Genre_3_ Magic,Genre_3_ Martial Arts,Genre_3_ Mecha,Genre_3_ Military,Genre_3_ Music,Genre_3_ Mystery,Genre_3_ Parody,Genre_3_ Police,Genre_3_ Psychological,Genre_3_ Romance,Genre_3_ Samurai,Genre_3_ School,Genre_3_ Sci-Fi,Genre_3_ Seinen,Genre_3_ Shoujo,Genre_3_ Shoujo Ai,Genre_3_ Shounen,Genre_3_ Shounen Ai,Genre_3_ Slice of Life,Genre_3_ Space,Genre_3_ Sports,Genre_3_ Super Power,Genre_3_ Supernatural,Genre_3_ Thriller,Genre_3_ Vampire
School Rumble,7.853997036403355,275464,5137,12277,157789,12856,13491,79051,17907.0,27623.0,38112.0,27327.0,11034.0,5396.0,1897.0,780.0,441.0,405.0,0.5728116922719484,0.04897554671390817,0.01864853483576801,0.3477643176853394,0.0064618627885305755,11.695871321621821,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunabouzu,7.287674423528913,111734,790,6273,53819,6255,7951,37436,3589.0,6664.0,12349.0,12702.0,6033.0,3079.0,1521.0,643.0,350.0,297.0,0.48167075375445256,0.07116007661052141,0.00707036354198364,0.21710038749020688,0.01369979037415038,6.768834108917117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texhnolyze,7.5706465883194065,182599,3671,11335,47532,9815,8112,105805,6856.0,8309.0,10851.0,8636.0,4429.0,2462.0,1456.0,684.0,411.0,664.0,0.26030810683519623,0.04442521591027333,0.02010416267339909,0.33882211001385226,0.024018052638634435,5.859467455621302,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinity Blood,7.275356387695246,158343,1479,7794,87958,8940,9349,44302,6091.0,9759.0,17761.0,20152.0,10273.0,5392.0,2250.0,873.0,456.0,298.0,0.5554902963819051,0.0590427110765869,0.009340482370550008,0.2162199031443967,0.010285792237910102,9.408278960316611,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Yakitate!! Japan,7.877277569097942,80183,887,5007,39992,5764,4633,24787,4347.0,7425.0,11074.0,7965.0,3038.0,1248.0,345.0,118.0,56.0,58.0,0.4987590885848621,0.057780327500841826,0.011062195228415,0.3299882267197399,0.003195604642036217,8.631987912799483,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zipang,7.487278854254423,16652,152,857,6807,721,599,7668,430.0,874.0,1801.0,1696.0,662.0,279.0,114.0,38.0,13.0,28.0,0.4087797261590199,0.035971655056449676,0.009128032668748499,0.21971356360572872,0.0069081718618365625,11.363939899833055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Neon Genesis Evangelion,8.310794309876313,1160651,71308,66549,815938,35566,20358,222240,186797.0,168056.0,157596.0,93532.0,38385.0,17571.0,9686.0,4408.0,3263.0,3714.0,0.7030002989701469,0.017540156343293548,0.061437934400607935,0.5195444270052474,0.010215107290104948,40.07947735533942,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenpuu Denki Berserk,8.451312333690431,432190,18567,19540,276588,12737,9406,113919,58627.0,65906.0,60815.0,29055.0,9477.0,3899.0,1748.0,671.0,456.0,842.0,0.6399685323584534,0.021763576204909877,0.04296027210254749,0.537948819850019,0.00560700832843764,29.405485860089303,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rurouni Kenshin: Meiji Kenkaku Romantan,8.262795159763616,386195,11236,29540,216154,30655,18588,91258,38050.0,50380.0,57604.0,33295.0,10220.0,3867.0,1167.0,372.0,176.0,314.0,0.559701705097166,0.048131125467704136,0.02909411048822486,0.4524546547622093,0.002507099183913633,11.628685173230041,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.hack//Sign,6.930215751714714,158227,1359,6733,91528,8315,11881,39770,5266.0,8051.0,15537.0,20391.0,12617.0,7610.0,3688.0,1502.0,825.0,619.0,0.5784600605459246,0.07508832247340846,0.008588926036643556,0.17497963366883032,0.018973536909047906,7.703728642370171,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
